aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.000 precision:0.976 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:913 false_negative:0 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.050 precision:0.998 recall:0.858 true_negative_rate:0.920 true_positive:32411 true_negative:840 false_positive:73 false_negative:5384 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.100 precision:0.999 recall:0.718 true_negative_rate:0.972 true_positive:27119 true_negative:887 false_positive:26 false_negative:10676 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.150 precision:0.999 recall:0.619 true_negative_rate:0.982 true_positive:23380 true_negative:897 false_positive:16 false_negative:14415 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.200 precision:0.999 recall:0.540 true_negative_rate:0.987 true_positive:20417 true_negative:901 false_positive:12 false_negative:17378 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.476 true_negative_rate:0.991 true_positive:17975 true_negative:905 false_positive:8 false_negative:19820 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.421 true_negative_rate:0.997 true_positive:15906 true_negative:910 false_positive:3 false_negative:21889 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.357 true_negative_rate:1.000 true_positive:13496 true_negative:913 false_positive:0 false_negative:24299 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.286 true_negative_rate:1.000 true_positive:10818 true_negative:913 false_positive:0 false_negative:26977 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.231 true_negative_rate:1.000 true_positive:8725 true_negative:913 false_positive:0 false_negative:29070 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6955 true_negative:913 false_positive:0 false_negative:30840 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.141 true_negative_rate:1.000 true_positive:5329 true_negative:913 false_positive:0 false_negative:32466 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.099 true_negative_rate:1.000 true_positive:3758 true_negative:913 false_positive:0 false_negative:34037 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:2515 true_negative:913 false_positive:0 false_negative:35280 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.034 true_negative_rate:1.000 true_positive:1302 true_negative:913 false_positive:0 false_negative:36493 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.013 true_negative_rate:1.000 true_positive:503 true_negative:913 false_positive:0 false_negative:37292 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:60 true_negative:913 false_positive:0 false_negative:37735 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:36 true_negative:913 false_positive:0 false_negative:37759 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:913 false_positive:0 false_negative:37770 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:913 false_positive:0 false_negative:37783 
aces_publicb_ocount_100_osize_5_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:913 false_positive:0 false_negative:37794 
