aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.000 precision:0.991 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:348 false_negative:0 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.050 precision:0.999 recall:0.857 true_negative_rate:0.879 true_positive:32398 true_negative:306 false_positive:42 false_negative:5397 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.100 precision:1.000 recall:0.717 true_negative_rate:0.997 true_positive:27105 true_negative:347 false_positive:1 false_negative:10690 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.150 precision:1.000 recall:0.618 true_negative_rate:1.000 true_positive:23352 true_negative:348 false_positive:0 false_negative:14443 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.200 precision:1.000 recall:0.540 true_negative_rate:1.000 true_positive:20396 true_negative:348 false_positive:0 false_negative:17399 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.250 precision:1.000 recall:0.475 true_negative_rate:1.000 true_positive:17966 true_negative:348 false_positive:0 false_negative:19829 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.300 precision:1.000 recall:0.420 true_negative_rate:1.000 true_positive:15867 true_negative:348 false_positive:0 false_negative:21928 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.357 true_negative_rate:1.000 true_positive:13485 true_negative:348 false_positive:0 false_negative:24310 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.286 true_negative_rate:1.000 true_positive:10807 true_negative:348 false_positive:0 false_negative:26988 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.230 true_negative_rate:1.000 true_positive:8703 true_negative:348 false_positive:0 false_negative:29092 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6952 true_negative:348 false_positive:0 false_negative:30843 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.140 true_negative_rate:1.000 true_positive:5310 true_negative:348 false_positive:0 false_negative:32485 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.100 true_negative_rate:1.000 true_positive:3765 true_negative:348 false_positive:0 false_negative:34030 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:2519 true_negative:348 false_positive:0 false_negative:35276 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.035 true_negative_rate:1.000 true_positive:1306 true_negative:348 false_positive:0 false_negative:36489 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.013 true_negative_rate:1.000 true_positive:510 true_negative:348 false_positive:0 false_negative:37285 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:62 true_negative:348 false_positive:0 false_negative:37733 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:35 true_negative:348 false_positive:0 false_negative:37760 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:26 true_negative:348 false_positive:0 false_negative:37769 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:348 false_positive:0 false_negative:37783 
aces_publicb_ocount_20_osize_5_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:348 false_positive:0 false_negative:37794 
