aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.000 precision:0.830 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:7763 false_negative:0 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.050 precision:0.814 recall:0.859 true_negative_rate:0.045 true_positive:32467 true_negative:348 false_positive:7415 false_negative:5328 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.100 precision:0.843 recall:0.721 true_negative_rate:0.347 true_positive:27263 true_negative:2696 false_positive:5067 false_negative:10532 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.150 precision:0.973 recall:0.625 true_negative_rate:0.914 true_positive:23617 true_negative:7096 false_positive:667 false_negative:14178 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.200 precision:0.986 recall:0.546 true_negative_rate:0.962 true_positive:20618 true_negative:7471 false_positive:292 false_negative:17177 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.250 precision:0.991 recall:0.477 true_negative_rate:0.979 true_positive:18045 true_negative:7600 false_positive:163 false_negative:19750 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.300 precision:0.997 recall:0.422 true_negative_rate:0.995 true_positive:15948 true_negative:7722 false_positive:41 false_negative:21847 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.350 precision:0.999 recall:0.359 true_negative_rate:0.998 true_positive:13552 true_negative:7744 false_positive:19 false_negative:24243 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.286 true_negative_rate:1.000 true_positive:10817 true_negative:7763 false_positive:0 false_negative:26978 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.231 true_negative_rate:1.000 true_positive:8732 true_negative:7763 false_positive:0 false_negative:29063 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.183 true_negative_rate:1.000 true_positive:6901 true_negative:7763 false_positive:0 false_negative:30894 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.138 true_negative_rate:1.000 true_positive:5222 true_negative:7763 false_positive:0 false_negative:32573 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.098 true_negative_rate:1.000 true_positive:3692 true_negative:7763 false_positive:0 false_negative:34103 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.064 true_negative_rate:1.000 true_positive:2413 true_negative:7763 false_positive:0 false_negative:35382 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.033 true_negative_rate:1.000 true_positive:1241 true_negative:7763 false_positive:0 false_negative:36554 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.012 true_negative_rate:1.000 true_positive:446 true_negative:7763 false_positive:0 false_negative:37349 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:66 true_negative:7763 false_positive:0 false_negative:37729 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:30 true_negative:7763 false_positive:0 false_negative:37765 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:23 true_negative:7763 false_positive:0 false_negative:37772 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:7763 false_positive:0 false_negative:37783 
aces_publicb_ocount_40_osize_24_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:7763 false_positive:0 false_negative:37794 
