csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.000 precision:0.776 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:4874 false_negative:0 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.050 precision:0.781 recall:0.943 true_negative_rate:0.087 true_positive:15903 true_negative:423 false_positive:4451 false_negative:954 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.100 precision:0.814 recall:0.824 true_negative_rate:0.347 true_positive:13885 true_negative:1691 false_positive:3183 false_negative:2972 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.150 precision:0.873 recall:0.648 true_negative_rate:0.673 true_positive:10917 true_negative:3282 false_positive:1592 false_negative:5940 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.200 precision:0.923 recall:0.463 true_negative_rate:0.867 true_positive:7808 true_negative:4225 false_positive:649 false_negative:9049 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.250 precision:0.956 recall:0.330 true_negative_rate:0.947 true_positive:5565 true_negative:4616 false_positive:258 false_negative:11292 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.300 precision:0.987 recall:0.245 true_negative_rate:0.989 true_positive:4132 true_negative:4821 false_positive:53 false_negative:12725 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.350 precision:0.997 recall:0.186 true_negative_rate:0.998 true_positive:3131 true_negative:4866 false_positive:8 false_negative:13726 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.400 precision:0.998 recall:0.139 true_negative_rate:0.999 true_positive:2347 true_negative:4869 false_positive:5 false_negative:14510 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.450 precision:0.998 recall:0.099 true_negative_rate:0.999 true_positive:1669 true_negative:4870 false_positive:4 false_negative:15188 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.500 precision:0.999 recall:0.062 true_negative_rate:1.000 true_positive:1047 true_negative:4873 false_positive:1 false_negative:15810 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.037 true_negative_rate:1.000 true_positive:631 true_negative:4874 false_positive:0 false_negative:16226 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.021 true_negative_rate:1.000 true_positive:358 true_negative:4874 false_positive:0 false_negative:16499 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.008 true_negative_rate:1.000 true_positive:143 true_negative:4874 false_positive:0 false_negative:16714 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:52 true_negative:4874 false_positive:0 false_negative:16805 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:4874 false_positive:0 false_negative:16832 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:18 true_negative:4874 false_positive:0 false_negative:16839 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:9 true_negative:4874 false_positive:0 false_negative:16848 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:4 true_negative:4874 false_positive:0 false_negative:16853 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:4874 false_positive:0 false_negative:16854 
csail_ocount_140_osize_9_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4874 false_positive:0 false_negative:16856 
