csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.000 precision:0.997 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:45 false_negative:0 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.050 precision:0.999 recall:0.976 true_negative_rate:0.600 true_positive:16458 true_negative:27 false_positive:18 false_negative:399 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.100 precision:1.000 recall:0.900 true_negative_rate:0.844 true_positive:15171 true_negative:38 false_positive:7 false_negative:1686 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.150 precision:0.999 recall:0.747 true_negative_rate:0.844 true_positive:12587 true_negative:38 false_positive:7 false_negative:4270 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.200 precision:1.000 recall:0.564 true_negative_rate:0.956 true_positive:9514 true_negative:43 false_positive:2 false_negative:7343 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.250 precision:1.000 recall:0.406 true_negative_rate:1.000 true_positive:6843 true_negative:45 false_positive:0 false_negative:10014 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.296 true_negative_rate:1.000 true_positive:4992 true_negative:45 false_positive:0 false_negative:11865 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.219 true_negative_rate:1.000 true_positive:3695 true_negative:45 false_positive:0 false_negative:13162 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.157 true_negative_rate:1.000 true_positive:2640 true_negative:45 false_positive:0 false_negative:14217 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.104 true_negative_rate:1.000 true_positive:1747 true_negative:45 false_positive:0 false_negative:15110 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.066 true_negative_rate:1.000 true_positive:1111 true_negative:45 false_positive:0 false_negative:15746 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.039 true_negative_rate:1.000 true_positive:657 true_negative:45 false_positive:0 false_negative:16200 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.022 true_negative_rate:1.000 true_positive:368 true_negative:45 false_positive:0 false_negative:16489 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:153 true_negative:45 false_positive:0 false_negative:16704 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:57 true_negative:45 false_positive:0 false_negative:16800 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:26 true_negative:45 false_positive:0 false_negative:16831 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:19 true_negative:45 false_positive:0 false_negative:16838 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:11 true_negative:45 false_positive:0 false_negative:16846 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:5 true_negative:45 false_positive:0 false_negative:16852 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:45 false_positive:0 false_negative:16854 
csail_ocount_20_osize_2_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:45 false_positive:0 false_negative:16856 
