csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.000 precision:0.781 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:4740 false_negative:0 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.050 precision:0.774 recall:0.942 true_negative_rate:0.024 true_positive:15879 true_negative:112 false_positive:4628 false_negative:978 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.100 precision:0.774 recall:0.811 true_negative_rate:0.158 true_positive:13677 true_negative:751 false_positive:3989 false_negative:3180 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.150 precision:0.791 recall:0.629 true_negative_rate:0.410 true_positive:10600 true_negative:1943 false_positive:2797 false_negative:6257 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.200 precision:0.860 recall:0.456 true_negative_rate:0.736 true_positive:7688 true_negative:3491 false_positive:1249 false_negative:9169 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.250 precision:0.936 recall:0.332 true_negative_rate:0.919 true_positive:5598 true_negative:4355 false_positive:385 false_negative:11259 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.300 precision:0.966 recall:0.248 true_negative_rate:0.969 true_positive:4188 true_negative:4592 false_positive:148 false_negative:12669 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.350 precision:0.983 recall:0.185 true_negative_rate:0.988 true_positive:3117 true_negative:4685 false_positive:55 false_negative:13740 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.400 precision:0.987 recall:0.137 true_negative_rate:0.993 true_positive:2307 true_negative:4709 false_positive:31 false_negative:14550 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.450 precision:0.994 recall:0.096 true_negative_rate:0.998 true_positive:1619 true_negative:4730 false_positive:10 false_negative:15238 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.060 true_negative_rate:1.000 true_positive:1017 true_negative:4740 false_positive:0 false_negative:15840 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.035 true_negative_rate:1.000 true_positive:597 true_negative:4740 false_positive:0 false_negative:16260 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.020 true_negative_rate:1.000 true_positive:341 true_negative:4740 false_positive:0 false_negative:16516 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.008 true_negative_rate:1.000 true_positive:131 true_negative:4740 false_positive:0 false_negative:16726 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:44 true_negative:4740 false_positive:0 false_negative:16813 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:30 true_negative:4740 false_positive:0 false_negative:16827 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:21 true_negative:4740 false_positive:0 false_negative:16836 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:12 true_negative:4740 false_positive:0 false_negative:16845 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:4740 false_positive:0 false_negative:16850 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:4740 false_positive:0 false_negative:16854 
csail_ocount_60_osize_16_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4740 false_positive:0 false_negative:16856 
