edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.000 precision:0.949 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:2405 false_negative:0 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.050 precision:0.951 recall:0.707 true_negative_rate:0.326 true_positive:31529 true_negative:783 false_positive:1622 false_negative:13058 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.100 precision:0.979 recall:0.447 true_negative_rate:0.824 true_positive:19921 true_negative:1982 false_positive:423 false_negative:24666 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.150 precision:0.994 recall:0.304 true_negative_rate:0.965 true_positive:13558 true_negative:2321 false_positive:84 false_negative:31029 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.200 precision:1.000 recall:0.219 true_negative_rate:0.998 true_positive:9743 true_negative:2401 false_positive:4 false_negative:34844 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.166 true_negative_rate:1.000 true_positive:7411 true_negative:2404 false_positive:1 false_negative:37176 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.129 true_negative_rate:1.000 true_positive:5753 true_negative:2405 false_positive:0 false_negative:38834 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:4875 true_negative:2405 false_positive:0 false_negative:39712 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3952 true_negative:2405 false_positive:0 false_negative:40635 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3624 true_negative:2405 false_positive:0 false_negative:40963 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.075 true_negative_rate:1.000 true_positive:3323 true_negative:2405 false_positive:0 false_negative:41264 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3110 true_negative:2405 false_positive:0 false_negative:41477 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3052 true_negative:2405 false_positive:0 false_negative:41535 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2706 true_negative:2405 false_positive:0 false_negative:41881 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.015 true_negative_rate:1.000 true_positive:691 true_negative:2405 false_positive:0 false_negative:43896 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:406 true_negative:2405 false_positive:0 false_negative:44181 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:2405 false_positive:0 false_negative:44580 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2405 false_positive:0 false_negative:44586 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2405 false_positive:0 false_negative:44586 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2405 false_positive:0 false_negative:44586 
edmonton_ocount_20_osize_31_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2405 false_positive:0 false_negative:44586 
