edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.000 precision:0.942 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:2726 false_negative:0 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.050 precision:0.967 recall:0.707 true_negative_rate:0.606 true_positive:31542 true_negative:1652 false_positive:1074 false_negative:13045 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.100 precision:0.996 recall:0.446 true_negative_rate:0.972 true_positive:19867 true_negative:2651 false_positive:75 false_negative:24720 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.150 precision:0.998 recall:0.305 true_negative_rate:0.991 true_positive:13594 true_negative:2702 false_positive:24 false_negative:30993 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.200 precision:1.000 recall:0.217 true_negative_rate:0.999 true_positive:9681 true_negative:2722 false_positive:4 false_negative:34906 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.250 precision:1.000 recall:0.166 true_negative_rate:1.000 true_positive:7386 true_negative:2725 false_positive:1 false_negative:37201 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.300 precision:1.000 recall:0.129 true_negative_rate:1.000 true_positive:5741 true_negative:2725 false_positive:1 false_negative:38846 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.109 true_negative_rate:1.000 true_positive:4865 true_negative:2726 false_positive:0 false_negative:39722 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:3961 true_negative:2726 false_positive:0 false_negative:40626 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.082 true_negative_rate:1.000 true_positive:3637 true_negative:2726 false_positive:0 false_negative:40950 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.075 true_negative_rate:1.000 true_positive:3330 true_negative:2726 false_positive:0 false_negative:41257 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3109 true_negative:2726 false_positive:0 false_negative:41478 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3049 true_negative:2726 false_positive:0 false_negative:41538 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2705 true_negative:2726 false_positive:0 false_negative:41882 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.016 true_negative_rate:1.000 true_positive:702 true_negative:2726 false_positive:0 false_negative:43885 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:410 true_negative:2726 false_positive:0 false_negative:44177 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:7 true_negative:2726 false_positive:0 false_negative:44580 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2726 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2726 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2726 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_12_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:2726 false_positive:0 false_negative:44586 
