edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.000 precision:0.695 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:19543 false_negative:0 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.050 precision:0.629 recall:0.723 true_negative_rate:0.025 true_positive:32243 true_negative:491 false_positive:19052 false_negative:12344 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.100 precision:0.613 recall:0.473 true_negative_rate:0.318 true_positive:21084 true_negative:6210 false_positive:13333 false_negative:23503 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.150 precision:0.870 recall:0.319 true_negative_rate:0.891 true_positive:14226 true_negative:17416 false_positive:2127 false_negative:30361 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.200 precision:0.982 recall:0.224 true_negative_rate:0.990 true_positive:10000 true_negative:19355 false_positive:188 false_negative:34587 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.250 precision:1.000 recall:0.165 true_negative_rate:1.000 true_positive:7342 true_negative:19541 false_positive:2 false_negative:37245 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.129 true_negative_rate:1.000 true_positive:5733 true_negative:19543 false_positive:0 false_negative:38854 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.111 true_negative_rate:1.000 true_positive:4932 true_negative:19543 false_positive:0 false_negative:39655 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.091 true_negative_rate:1.000 true_positive:4059 true_negative:19543 false_positive:0 false_negative:40528 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.081 true_negative_rate:1.000 true_positive:3606 true_negative:19543 false_positive:0 false_negative:40981 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.075 true_negative_rate:1.000 true_positive:3354 true_negative:19543 false_positive:0 false_negative:41233 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.070 true_negative_rate:1.000 true_positive:3127 true_negative:19543 false_positive:0 false_negative:41460 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3046 true_negative:19543 false_positive:0 false_negative:41541 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.062 true_negative_rate:1.000 true_positive:2747 true_negative:19543 false_positive:0 false_negative:41840 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.018 true_negative_rate:1.000 true_positive:824 true_negative:19543 false_positive:0 false_negative:43763 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:410 true_negative:19543 false_positive:0 false_negative:44177 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:9 true_negative:19543 false_positive:0 false_negative:44578 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:19543 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:19543 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:19543 false_positive:0 false_negative:44586 
edmonton_ocount_40_osize_36_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:19543 false_positive:0 false_negative:44586 
