fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.000 precision:0.993 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:259 false_negative:0 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.050 precision:0.995 recall:0.934 true_negative_rate:0.417 true_positive:32541 true_negative:108 false_positive:151 false_negative:2290 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.100 precision:0.998 recall:0.779 true_negative_rate:0.772 true_positive:27135 true_negative:200 false_positive:59 false_negative:7696 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.150 precision:0.999 recall:0.596 true_negative_rate:0.938 true_positive:20761 true_negative:243 false_positive:16 false_negative:14070 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.200 precision:0.999 recall:0.465 true_negative_rate:0.965 true_positive:16192 true_negative:250 false_positive:9 false_negative:18639 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.250 precision:1.000 recall:0.389 true_negative_rate:0.977 true_positive:13553 true_negative:253 false_positive:6 false_negative:21278 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.300 precision:1.000 recall:0.323 true_negative_rate:0.981 true_positive:11265 true_negative:254 false_positive:5 false_negative:23566 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.270 true_negative_rate:0.992 true_positive:9395 true_negative:257 false_positive:2 false_negative:25436 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.226 true_negative_rate:1.000 true_positive:7858 true_negative:259 false_positive:0 false_negative:26973 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.184 true_negative_rate:1.000 true_positive:6402 true_negative:259 false_positive:0 false_negative:28429 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.142 true_negative_rate:1.000 true_positive:4950 true_negative:259 false_positive:0 false_negative:29881 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.110 true_negative_rate:1.000 true_positive:3819 true_negative:259 false_positive:0 false_negative:31012 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.076 true_negative_rate:1.000 true_positive:2631 true_negative:259 false_positive:0 false_negative:32200 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.049 true_negative_rate:1.000 true_positive:1701 true_negative:259 false_positive:0 false_negative:33130 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:1249 true_negative:259 false_positive:0 false_negative:33582 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:961 true_negative:259 false_positive:0 false_negative:33870 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.019 true_negative_rate:1.000 true_positive:646 true_negative:259 false_positive:0 false_negative:34185 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.006 true_negative_rate:1.000 true_positive:204 true_negative:259 false_positive:0 false_negative:34627 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:49 true_negative:259 false_positive:0 false_negative:34782 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:259 false_positive:0 false_negative:34818 
fhw_ocount_120_osize_2_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:259 false_positive:0 false_negative:34830 
