fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.000 precision:0.989 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:393 false_negative:0 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.050 precision:0.995 recall:0.936 true_negative_rate:0.616 true_positive:32602 true_negative:242 false_positive:151 false_negative:2229 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.100 precision:0.998 recall:0.782 true_negative_rate:0.883 true_positive:27224 true_negative:347 false_positive:46 false_negative:7607 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.150 precision:0.999 recall:0.599 true_negative_rate:0.954 true_positive:20852 true_negative:375 false_positive:18 false_negative:13979 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.200 precision:0.999 recall:0.467 true_negative_rate:0.977 true_positive:16277 true_negative:384 false_positive:9 false_negative:18554 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.250 precision:1.000 recall:0.388 true_negative_rate:0.985 true_positive:13531 true_negative:387 false_positive:6 false_negative:21300 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.323 true_negative_rate:0.987 true_positive:11233 true_negative:388 false_positive:5 false_negative:23598 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.268 true_negative_rate:0.990 true_positive:9333 true_negative:389 false_positive:4 false_negative:25498 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.223 true_negative_rate:0.992 true_positive:7774 true_negative:390 false_positive:3 false_negative:27057 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.182 true_negative_rate:1.000 true_positive:6356 true_negative:393 false_positive:0 false_negative:28475 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.142 true_negative_rate:1.000 true_positive:4948 true_negative:393 false_positive:0 false_negative:29883 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.110 true_negative_rate:1.000 true_positive:3833 true_negative:393 false_positive:0 false_negative:30998 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.077 true_negative_rate:1.000 true_positive:2682 true_negative:393 false_positive:0 false_negative:32149 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.049 true_negative_rate:1.000 true_positive:1718 true_negative:393 false_positive:0 false_negative:33113 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:1262 true_negative:393 false_positive:0 false_negative:33569 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:960 true_negative:393 false_positive:0 false_negative:33871 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.019 true_negative_rate:1.000 true_positive:654 true_negative:393 false_positive:0 false_negative:34177 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.006 true_negative_rate:1.000 true_positive:208 true_negative:393 false_positive:0 false_negative:34623 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:47 true_negative:393 false_positive:0 false_negative:34784 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:393 false_positive:0 false_negative:34818 
fhw_ocount_160_osize_2_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:393 false_positive:0 false_negative:34830 
