fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.000 precision:0.974 recall:1.000 true_negative_rate:0.000 true_positive:34831 true_negative:0 false_positive:930 false_negative:0 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.050 precision:0.983 recall:0.936 true_negative_rate:0.382 true_positive:32585 true_negative:355 false_positive:575 false_negative:2246 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.100 precision:0.993 recall:0.779 true_negative_rate:0.801 true_positive:27120 true_negative:745 false_positive:185 false_negative:7711 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.150 precision:0.998 recall:0.596 true_negative_rate:0.962 true_positive:20766 true_negative:895 false_positive:35 false_negative:14065 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.200 precision:1.000 recall:0.464 true_negative_rate:0.992 true_positive:16148 true_negative:923 false_positive:7 false_negative:18683 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.250 precision:1.000 recall:0.387 true_negative_rate:0.995 true_positive:13482 true_negative:925 false_positive:5 false_negative:21349 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.300 precision:1.000 recall:0.326 true_negative_rate:0.999 true_positive:11344 true_negative:929 false_positive:1 false_negative:23487 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.350 precision:1.000 recall:0.271 true_negative_rate:0.999 true_positive:9454 true_negative:929 false_positive:1 false_negative:25377 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.227 true_negative_rate:1.000 true_positive:7897 true_negative:930 false_positive:0 false_negative:26934 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.185 true_negative_rate:1.000 true_positive:6445 true_negative:930 false_positive:0 false_negative:28386 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.143 true_negative_rate:1.000 true_positive:4986 true_negative:930 false_positive:0 false_negative:29845 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.111 true_negative_rate:1.000 true_positive:3852 true_negative:930 false_positive:0 false_negative:30979 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.077 true_negative_rate:1.000 true_positive:2666 true_negative:930 false_positive:0 false_negative:32165 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.049 true_negative_rate:1.000 true_positive:1697 true_negative:930 false_positive:0 false_negative:33134 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.036 true_negative_rate:1.000 true_positive:1251 true_negative:930 false_positive:0 false_negative:33580 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:972 true_negative:930 false_positive:0 false_negative:33859 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.019 true_negative_rate:1.000 true_positive:663 true_negative:930 false_positive:0 false_negative:34168 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.006 true_negative_rate:1.000 true_positive:220 true_negative:930 false_positive:0 false_negative:34611 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:53 true_negative:930 false_positive:0 false_negative:34778 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:13 true_negative:930 false_positive:0 false_negative:34818 
fhw_ocount_60_osize_6_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:930 false_positive:0 false_negative:34830 
