fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.000 precision:0.963 recall:1.000 true_negative_rate:0.000 true_positive:36465 true_negative:0 false_positive:1418 false_negative:0 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.050 precision:0.980 recall:0.978 true_negative_rate:0.480 true_positive:35652 true_negative:681 false_positive:737 false_negative:813 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.100 precision:0.990 recall:0.909 true_negative_rate:0.755 true_positive:33141 true_negative:1070 false_positive:348 false_negative:3324 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.150 precision:0.994 recall:0.775 true_negative_rate:0.878 true_positive:28246 true_negative:1245 false_positive:173 false_negative:8219 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.200 precision:0.996 recall:0.610 true_negative_rate:0.939 true_positive:22257 true_negative:1332 false_positive:86 false_negative:14208 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.250 precision:0.998 recall:0.477 true_negative_rate:0.972 true_positive:17397 true_negative:1378 false_positive:40 false_negative:19068 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.300 precision:0.998 recall:0.369 true_negative_rate:0.985 true_positive:13460 true_negative:1397 false_positive:21 false_negative:23005 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.350 precision:0.999 recall:0.271 true_negative_rate:0.996 true_positive:9870 true_negative:1412 false_positive:6 false_negative:26595 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.400 precision:0.999 recall:0.194 true_negative_rate:0.997 true_positive:7073 true_negative:1414 false_positive:4 false_negative:29392 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.136 true_negative_rate:0.999 true_positive:4952 true_negative:1416 false_positive:2 false_negative:31513 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.500 precision:0.999 recall:0.093 true_negative_rate:0.999 true_positive:3395 true_negative:1416 false_positive:2 false_negative:33070 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.062 true_negative_rate:1.000 true_positive:2244 true_negative:1418 false_positive:0 false_negative:34221 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.035 true_negative_rate:1.000 true_positive:1276 true_negative:1418 false_positive:0 false_negative:35189 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.016 true_negative_rate:1.000 true_positive:575 true_negative:1418 false_positive:0 false_negative:35890 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.006 true_negative_rate:1.000 true_positive:234 true_negative:1418 false_positive:0 false_negative:36231 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:108 true_negative:1418 false_positive:0 false_negative:36357 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:48 true_negative:1418 false_positive:0 false_negative:36417 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:24 true_negative:1418 false_positive:0 false_negative:36441 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:14 true_negative:1418 false_positive:0 false_negative:36451 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:6 true_negative:1418 false_positive:0 false_negative:36459 
fr079_ocount_140_osize_5_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1418 false_positive:0 false_negative:36464 
