fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.000 precision:0.799 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:3753 false_negative:0 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.050 precision:0.798 recall:0.928 true_negative_rate:0.071 true_positive:13816 true_negative:265 false_positive:3488 false_negative:1077 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.100 precision:0.852 recall:0.812 true_negative_rate:0.443 true_positive:12087 true_negative:1661 false_positive:2092 false_negative:2806 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.150 precision:0.955 recall:0.676 true_negative_rate:0.875 true_positive:10063 true_negative:3282 false_positive:471 false_negative:4830 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.200 precision:0.985 recall:0.554 true_negative_rate:0.967 true_positive:8254 true_negative:3630 false_positive:123 false_negative:6639 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.250 precision:0.992 recall:0.479 true_negative_rate:0.985 true_positive:7127 true_negative:3698 false_positive:55 false_negative:7766 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.300 precision:0.997 recall:0.422 true_negative_rate:0.994 true_positive:6291 true_negative:3732 false_positive:21 false_negative:8602 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.350 precision:1.000 recall:0.379 true_negative_rate:1.000 true_positive:5646 true_negative:3752 false_positive:1 false_negative:9247 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.400 precision:1.000 recall:0.335 true_negative_rate:1.000 true_positive:4982 true_negative:3752 false_positive:1 false_negative:9911 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.450 precision:1.000 recall:0.291 true_negative_rate:1.000 true_positive:4331 true_negative:3753 false_positive:0 false_negative:10562 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.500 precision:1.000 recall:0.259 true_negative_rate:1.000 true_positive:3851 true_negative:3753 false_positive:0 false_negative:11042 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.550 precision:1.000 recall:0.224 true_negative_rate:1.000 true_positive:3339 true_negative:3753 false_positive:0 false_negative:11554 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.600 precision:1.000 recall:0.191 true_negative_rate:1.000 true_positive:2845 true_negative:3753 false_positive:0 false_negative:12048 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.650 precision:1.000 recall:0.153 true_negative_rate:1.000 true_positive:2275 true_negative:3753 false_positive:0 false_negative:12618 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.700 precision:1.000 recall:0.119 true_negative_rate:1.000 true_positive:1771 true_negative:3753 false_positive:0 false_negative:13122 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.750 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:1323 true_negative:3753 false_positive:0 false_negative:13570 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.800 precision:1.000 recall:0.058 true_negative_rate:1.000 true_positive:861 true_negative:3753 false_positive:0 false_negative:14032 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.850 precision:1.000 recall:0.029 true_negative_rate:1.000 true_positive:429 true_negative:3753 false_positive:0 false_negative:14464 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.900 precision:1.000 recall:0.009 true_negative_rate:1.000 true_positive:139 true_negative:3753 false_positive:0 false_negative:14754 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:0.950 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:36 true_negative:3753 false_positive:0 false_negative:14857 
fr101_ocount_60_osize_16_otype_RECTANGLE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:3753 false_positive:0 false_negative:14892 
