fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.000 precision:0.782 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:4157 false_negative:0 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.050 precision:0.788 recall:0.924 true_negative_rate:0.110 true_positive:13767 true_negative:458 false_positive:3699 false_negative:1126 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.100 precision:0.863 recall:0.816 true_negative_rate:0.535 true_positive:12147 true_negative:2223 false_positive:1934 false_negative:2746 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.150 precision:0.944 recall:0.678 true_negative_rate:0.856 true_positive:10092 true_negative:3558 false_positive:599 false_negative:4801 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.200 precision:0.986 recall:0.563 true_negative_rate:0.971 true_positive:8392 true_negative:4037 false_positive:120 false_negative:6501 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.250 precision:0.997 recall:0.479 true_negative_rate:0.994 true_positive:7139 true_negative:4134 false_positive:23 false_negative:7754 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.300 precision:0.999 recall:0.420 true_negative_rate:0.999 true_positive:6260 true_negative:4151 false_positive:6 false_negative:8633 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.350 precision:0.999 recall:0.379 true_negative_rate:0.999 true_positive:5643 true_negative:4153 false_positive:4 false_negative:9250 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.334 true_negative_rate:1.000 true_positive:4977 true_negative:4157 false_positive:0 false_negative:9916 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.290 true_negative_rate:1.000 true_positive:4320 true_negative:4157 false_positive:0 false_negative:10573 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.258 true_negative_rate:1.000 true_positive:3840 true_negative:4157 false_positive:0 false_negative:11053 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.550 precision:1.000 recall:0.225 true_negative_rate:1.000 true_positive:3349 true_negative:4157 false_positive:0 false_negative:11544 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.195 true_negative_rate:1.000 true_positive:2898 true_negative:4157 false_positive:0 false_negative:11995 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.154 true_negative_rate:1.000 true_positive:2291 true_negative:4157 false_positive:0 false_negative:12602 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.119 true_negative_rate:1.000 true_positive:1778 true_negative:4157 false_positive:0 false_negative:13115 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.089 true_negative_rate:1.000 true_positive:1324 true_negative:4157 false_positive:0 false_negative:13569 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:903 true_negative:4157 false_positive:0 false_negative:13990 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.029 true_negative_rate:1.000 true_positive:425 true_negative:4157 false_positive:0 false_negative:14468 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.011 true_negative_rate:1.000 true_positive:166 true_negative:4157 false_positive:0 false_negative:14727 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:41 true_negative:4157 false_positive:0 false_negative:14852 
fr101_ocount_80_osize_10_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:4157 false_positive:0 false_negative:14892 
